Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
6,4294967295,16549,41,aclnnIndex_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1789485642565691.331	,251.885,284.069000,48,0,NO,"""161,24,128,128;4""",DT_BF16;INT64,NCHW;ND,"""161,24,128,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.024,21256505,16.843,0.068,109.128,0.444,89.839,0.365,89.364,0.363,0.001,0.000
6,4294967295,16550,41,aclnnIndex_IndexAiCore_Index,Index,dynamic,AI_VECTOR_CORE,1789485642565943.236	,17.541,0.115000,48,0,NO,"""161,24,128,128;1;4;1""",DT_BF16;INT64;INT64;INT32,NCHW;ND;ND;ND,"""1,24,128,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208,449975,0.008,0.001,0.325,0.062,0.473,0.091,0.109,0.021,0.295,0.000
6,4294967295,16551,41,l2norm_fwd_kernel_opt,l2norm_fwd_kernel_opt,static,AI_VECTOR_CORE,1789485642566304.763	,9.561,343.959000,48,0,YES,"""8,128""",DT_BF16,ND,"""8,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,445790,1.402,0.272,0.242,0.047,0.028,0.005,0.024,0.005,0.25,0.000
6,4294967295,16552,41,l2norm_fwd_kernel_opt,l2norm_fwd_kernel_opt,static,AI_VECTOR_CORE,1789485642566858.535	,4.200,544.189000,48,0,YES,"""8,128""",DT_BF16,ND,"""8,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366,204408,1.399,0.591,0.883,0.373,0.073,0.031,0.022,0.009,0.0,0.000
6,4294967295,16553,41,chunk_local_cumsum_scalar_kernel,chunk_local_cumsum_scalar_kernel,static,AI_VECTOR_CORE,1789485642567452.886	,3.000,590.300000,1,0,YES,"""1,1,24;2;1,2""",FLOAT;INT8;INT32,ND;ND;ND,"""1,1,24""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.561,4610,1.168,0.456,1.014,0.396,0.204,0.08,0.122,0.048,0.033,0.000
6,4294967295,16554,41,chunk_scaled_dot_kkt_fwd_trans_kernel,chunk_scaled_dot_kkt_fwd_trans_kernel,static,MIX_AIC,1789485642568348.864	,22.961,892.750000,1,2,YES,"""1,1,8,128;24,1,1;24,1,1;2""",DT_BF16;DT_BF16;FLOAT;INT32,ND;ND;ND;ND,"""1,1,24,64""",FLOAT,ND,0,21.994,39590,1.267,0.058,9.438,0.429,1.934,0.088,3.372,0.153,4.967,0.226,0.02,22.417,80700,14.28,0.637,11.964,0.534,5.855,0.261,1.431,0.064,0.016,3.991
6,4294967295,16555,41,solve_tril_16x16_kernel_paral_v3,solve_tril_16x16_kernel_paral_v3,static,AI_VECTOR_CORE,1789485642568826.514	,47.181,454.789000,24,0,YES,"""1,1,24,64;2;1,2""",FLOAT;INT32;INT32,ND;ND;ND,"""1,1,24,16""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,1926718,39.879,0.894,12.705,0.285,0.103,0.002,0.131,0.003,0.006,0.000
6,4294967295,16556,41,aclnnInplaceZero_ZerosLikeAiCore_ZerosLike,ZerosLike,dynamic,AI_VECTOR_CORE,1789485642569189.661	,1.680,316.069000,2,0,NO,"""1,1,24,64""",DT_BF16,NCHW,"""1,1,24,64""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.039,3742,0.051,0.049,0.211,0.203,0.001,0.001,0.135,0.13,0.186,0.000
6,4294967295,16557,41,merge_16x16_to_64x64_inverse_kernel,merge_16x16_to_64x64_inverse_kernel,static,MIX_AIC,1789485642569636.410	,17.980,445.070000,24,48,YES,"""1,1,24,64;1,1,24,16;2;1,2""",FLOAT;FLOAT;INT32;INT32,ND;ND;ND;ND,"""1,1,24,64""",DT_BF16,ND,0,11.341,489931,0.263,0.023,7.759,0.684,0.328,0.029,0.954,0.084,1.91,0.168,0.002,13.083,1130375,0.321,0.025,5.643,0.431,0.78,0.06,0.442,0.034,0.168,63.076
6,4294967295,16558,41,recompute_w_u_fwd_kernel_npu_kernel,recompute_w_u_fwd_kernel_npu_kernel,static,MIX_AIC,1789485642570735.712	,31.621,1081.270000,1,2,YES,"""1,1,8,128;1,1,24,128;1,24,1""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""1,1,24,128;1,1,24,128""",DT_BF16;DT_BF16,ND;ND,0,31.268,56283,15.333,0.49,27.056,0.865,11.572,0.37,17.789,0.569,6.304,0.202,0.01,30.751,110703,13.479,0.438,27.614,0.898,7.17,0.233,13.709,0.446,0.014,4.120
6,4294967295,16559,41,ted_delta_rule_fwd_kernel_h_blockdim64_npu_kernel,ted_delta_rule_fwd_kernel_h_blockdim64_npu_kernel,static,MIX_AIC,1789485642571991.937	,31.081,1224.629000,24,48,YES,"""1,1,8,128;1,1,24,128;1,1,24,128;1,24,1""",DT_BF16;DT_BF16;DT_BF16;FLOAT,ND;ND;ND;ND,"""1,1,24,128""",DT_BF16,ND,0,27.768,1199599,0.318,0.011,10.601,0.382,0.427,0.015,3.294,0.119,3.834,0.138,0.006,28.227,2438829,0.979,0.035,13.902,0.493,5.558,0.197,6.799,0.241,0.159,89.342
6,4294967295,16560,41,chunk_fwd_kernel_o_npu_kernel,chunk_fwd_kernel_o_npu_kernel,static,MIX_AIC,1789485642572831.094	,18.240,807.919000,24,48,YES,"""1,1,8,128;1,1,8,128;1,1,24,128;1,1,24,128,128;1,24,1""",DT_BF16;DT_BF16;DT_BF16;DT_BF16;FLOAT,ND;ND;ND;ND;ND,N/A,N/A,N/A,0,15.453,667549,0.336,0.022,7.044,0.456,0.437,0.028,4.57,0.296,2.441,0.158,0.004,15.327,1324245,0.877,0.057,5.621,0.367,1.478,0.096,0.727,0.047,0.164,84.718
6,4294967295,16561,41,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642573305.123	,8.981,455.760000,48,0,NO,"""1,24,128,128""",FLOAT,NCHW,"""1,24,128,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.123,615463,0.093,0.013,0.161,0.023,2.74,0.385,0.307,0.043,0.219,0.000
6,4294967295,16562,41,aclnnInplaceCopy_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1789485642573998.157	,1.400,684.269000,1,0,NO,"""1,1,1,1""",INT32,NCHW,"""1,1,1,1""",INT64,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.822,1479,0.026,0.032,0.264,0.322,0.102,0.124,0.124,0.151,0.189,0.000
6,4294967295,16563,41,aclnnIndexPutImpl_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1789485642574069.039	,213.804,69.350000,48,0,NO,"""161,24,128,128;4""",DT_BF16;INT64,NCHW;ND,"""161,24,128,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.673,17424589,16.843,0.084,109.364,0.542,71.57,0.355,65.169,0.323,0.002,0.000
6,4294967295,16564,41,aclnnIndexPutImpl_BroadcastToAiCore_BroadcastTo,BroadcastTo,dynamic,AI_VECTOR_CORE,1789485642574282.863	,9.920,0.000000,48,0,NO,"""1,24,128,128;4""",DT_BF16;INT64,ND;ND,"""1,24,128,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.779,672078,0.008,0.001,0.234,0.03,2.653,0.341,0.562,0.072,0.216,0.000
6,4294967295,16565,41,aclnnIndexPutImpl_IndexPutV2_IndexPutV2,IndexPutV2,dynamic,AI_VECTOR_CORE,1789485642574292.803	,47.701,0.080000,48,0,NO,"""161,24,128,128;1,24,128,128;1;1;1""",DT_BF16;DT_BF16;INT64;INT64;INT32,NCHW;ND;ND;ND;ND,"""161,24,128,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.724,494552,0.251,0.044,0.241,0.042,0.49,0.086,0.31,0.054,0.237,0.000
6,4294967295,16566,41,aclnnIndexPutImpl_TransposeAiCore_Transpose,Transpose,dynamic,AI_VECTOR_CORE,1789485642574340.544	,294.526,0.049000,48,0,NO,"""161,24,128,128;4""",DT_BF16;INT64,NCHW;ND,"""161,24,128,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.973,23930467,16.843,0.061,109.243,0.394,104.312,0.377,113.134,0.408,0.0,0.000
6,4294967295,16567,41,_layer_norm_fwd_1pass_kernel_npu,_layer_norm_fwd_1pass_kernel_npu,static,AI_VECTOR_CORE,1789485642575283.943	,4.560,648.974000,1,0,YES,"""24,128;128;24,128""",DT_BF16;DT_BF16;INT8,ND;ND;ND,"""24,128;24""",DT_BF16;DT_BF16,ND;ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.979,7162,1.854,0.466,0.817,0.205,1.151,0.289,0.262,0.066,0.188,0.000
